"MWS_SAW_BATCH_ID";"AGE_INDEX";"MWS_EQP_ID";"MWS_LOT_ID_LIST";"INGOT_SEGMENT_COUNT";"MAX_POS_IN_SAWINGBATCH";"MAX_DEFLECTION";"MWS_RECIPE_ID";"MWS_CUT_NUMBER";"WIRE_GUIDE_ROLLER_RUN_COUNT";"MWS_CUT_DONE_TIMESTAMP";"MWS_BOW_PLATE_ALLOWED";"MWS_BOW_PROFILE_ACTIVE";"MWS_CUT_INTERRUPTED";"MWS_WIRE_BREAK";"SPC_ALARM";"WIRE_GUIDE_ROLLER_CHANGED";"COMPLETE_CUT";"WAFER_LIST"
"MWS327903";11.0;"LW_35";"M765Y;M77AY";2.0;376.0;38.0;"12.9C-B35";4210.0;31.0;"2019-02-11 20:57:493";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822557713,BW0822557712,BW0822557711,BW0822557710,BW0822557709,BW0822557708,BW0822557707,BW0822557706,BW0822557701,BW0822557474,BW0822557473,BW0822557472,BW0822557277,BW0822557276,BW0822557452,BW0822557451,BW0822557450,BW0822557449,BW0822557448,BW0822557447,BW0822557446,BW0822557445,BW0822557440,BW0822557275"
"MWS327920";12.0;"LW_35";"M77LR;M77LU";2.0;344.0;38.0;"12.9C-B35";4209.0;30.0;"2019-02-11 06:44:327";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822553800,BW0822553799,BW0822553798,BW0822553797,BW0822553796,BW0822553795,BW0822553794,BW0822553793,BW0822553792,BW0822553791,BW0822553788,BW0822553460,BW0822553459,BW0822553458,BW0822553449,BW0822553448,BW0822553447,BW0822553446,BW0822553445,BW0822553444,BW0822553442,BW0822553441,BW0822553440"
"MWS327987";13.0;"LW_35";"M79GJ";1.0;380.0;38.0;"12.9C-B35";4208.0;29.0;"2019-02-10 16:10:167";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822549919,BW0822549918,BW0822549917,BW0822549916,BW0822549915,BW0822549914,BW0822549913,BW0822549912,BW0822549911,BW0822549910,BW0822549909,BW0822549384,BW0822549383,BW0822549382,BW0822549375,BW0822549374,BW0822549373,BW0822549921,BW0822549920"
"MWS327905";14.0;"LW_35";"M79BD";1.0;211.0;38.0;"12.9C-B35";4207.0;28.0;"2019-02-10 00:31:53";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822545266,BW0822545265,BW0822545264,BW0822545263,BW0822545262,BW0822545261,BW0822545260,BW0822545259,BW0822545258,BW0822545254,BW0822544903,BW0822544902,BW0822544901"
"MWS327647";15.0;"LW_35";"M77ZR;M77JM;M77BC";3.0;390.0;38.0;"12.9C-B35";4206.0;27.0;"2019-02-09 10:45:443";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822541305,BW0822541304,BW0822541303,BW0822541302,BW0822541301,BW0822541300,BW0822541299,BW0822541298,BW0822541293,BW0822540977,BW0822540976,BW0822540975,BW0822540951,BW0822540950,BW0822540949,BW0822540948,BW0822540947,BW0822540946,BW0822540944,BW0822540943,BW0822540942,BW0822540761,BW0822540760,BW0822540759,BW0822540758,BW0822540757,BW0822540756,BW0822540754,BW0822540753,BW0822540752"
"MWS327716";16.0;"LW_35";"M79GC";1.0;391.0;38.0;"12.9C-B35";4205.0;26.0;"2019-02-08 17:56:309";"Y";"N";"N";"N";"N";"N";"Y";"BW0822535904,BW0822535903,BW0822535902,BW0822535901,BW0822535900,BW0822535899,BW0822535898,BW0822535897,BW0822535896,BW0822535895,BW0822535894,BW0822535893,BW0822535892,BW0822535313,BW0822535312,BW0822535311,BW0822535304,BW0822535303,BW0822535302"
"MWS327442";17.0;"LW_35";"M79BK";1.0;390.0;38.0;"12.9C-B35";4204.0;25.0;"2019-02-08 01:38:724";"Y";"N";"N";"N";"N";"N";"Y";"BW0822530025,BW0822530024,BW0822530023,BW0822530022,BW0822530021,BW0822530020,BW0822530019,BW0822530018,BW0822530017,BW0822530016,BW0822530015,BW0822530014,BW0822530013,BW0822529524,BW0822529523,BW0822529522,BW0822529515,BW0822529514,BW0822529513"
"MWS327515";18.0;"LW_35";"M795Y;M792M;M796G";3.0;318.0;38.0;"12.9C-B35";4203.0;24.0;"2019-02-07 12:07:943";"Y";"N";"N";"N";"N";"N";"Y";"BW0822526293,BW0822526292,BW0822526291,BW0822526290,BW0822526289,BW0822526288,BW0822526287,BW0822526286,BW0822526285,BW0822526284,BW0822526100,BW0822526099,BW0822526098,BW0822526097,BW0822526096,BW0822526095,BW0822526093,BW0822526092,BW0822526091,BW0822525942,BW0822525941,BW0822525940,BW0822525939,BW0822525938,BW0822525936,BW0822525935,BW0822525934"
"MWS326781";19.0;"LW_35";"M776C;M779P;M776H";3.0;319.0;38.0;"12.9C-B35";4202.0;23.0;"2019-02-06 22:06:100";"Y";"N";"N";"N";"N";"N";"Y";"BW0822521930,BW0822521929,BW0822521928,BW0822521927,BW0822521926,BW0822521925,BW0822521924,BW0822521923,BW0822521922,BW0822521921,BW0822521731,BW0822521730,BW0822521729,BW0822521728,BW0822521727,BW0822521726,BW0822521724,BW0822521723,BW0822521722,BW0822521545,BW0822521544,BW0822521543,BW0822521542,BW0822521541,BW0822521540,BW0822521538,BW0822521537,BW0822521536"
"MWS327171";20.0;"LW_35";"M77TU;M775W;M775T";3.0;327.0;38.0;"12.9C-B35";4201.0;22.0;"2019-02-06 06:04:388";"Y";"N";"N";"N";"N";"N";"Y";"BW0822520038,BW0822520037,BW0822520036,BW0822520035,BW0822520034,BW0822520033,BW0822520031,BW0822520030,BW0822520029,BW0822519846,BW0822519845,BW0822519844,BW0822519843,BW0822519842,BW0822519841,BW0822519839,BW0822519838,BW0822519837,BW0822519674,BW0822519675,BW0822519673,BW0822519672,BW0822519671,BW0822519670,BW0822519668,BW0822519667,BW0822519666"
"MWS327395";21.0;"LW_35";"M792K";1.0;393.0;38.0;"12.9C-B35";4200.0;21.0;"2019-02-05 09:00:22";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822510835,BW0822510834,BW0822510833,BW0822510832,BW0822510831,BW0822510830,BW0822510829,BW0822510828,BW0822510827,BW0822510826,BW0822510825,BW0822510824,BW0822510823,BW0822510362,BW0822510361,BW0822510360,BW0822510353,BW0822510352,BW0822510351"
"MWS327096";22.0;"LW_35";"M75ZC;M76XG";2.0;383.0;38.0;"12.9C-B35";4199.0;20.0;"2019-02-04 18:33:699";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822506463,BW0822506462,BW0822506461,BW0822506460,BW0822506459,BW0822506458,BW0822506457,BW0822506456,BW0822506451,BW0822506173,BW0822506172,BW0822506171,BW0822506147,BW0822506146,BW0822506145,BW0822506144,BW0822506143,BW0822506142,BW0822506141,BW0822506140,BW0822506135,BW0822505831,BW0822505830,BW0822505829"
"MWS326904";23.0;"LW_35";"M76HE;M77NC";2.0;341.0;38.0;"12.9C-B35";4198.0;19.0;"2019-02-04 03:49:172";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822501760,BW0822501757,BW0822501764,BW0822501763,BW0822501762,BW0822501761,BW0822501759,BW0822501758,BW0822501756,BW0822501755,BW0822501752,BW0822501547,BW0822501546,BW0822501545,BW0822501535,BW0822501534,BW0822501533,BW0822501532,BW0822501531,BW0822501530,BW0822501528,BW0822501527,BW0822501526"
"MWS327195";24.0;"LW_35";"M793M";1.0;364.0;38.0;"12.9C-B35";4197.0;18.0;"2019-02-03 11:33:191";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822496757,BW0822496756,BW0822496755,BW0822496754,BW0822496753,BW0822496752,BW0822496751,BW0822496750,BW0822496749,BW0822496748,BW0822496747,BW0822496746,BW0822496745,BW0822496226,BW0822496225,BW0822496217,BW0822496216,BW0822496215"
"MWS326945";25.0;"LW_35";"M77HL;M77YM";2.0;375.0;38.0;"12.9C-B35";4196.0;17.0;"2019-02-02 21:51:110";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822492444,BW0822492443,BW0822492442,BW0822492441,BW0822492440,BW0822492439,BW0822492438,BW0822492437,BW0822492436,BW0822492432,BW0822492118,BW0822492117,BW0822492116,BW0822492092,BW0822492091,BW0822492090,BW0822492089,BW0822492088,BW0822492087,BW0822492086,BW0822492080,BW0822491832,BW0822491831,BW0822491830"
"MWS325944";26.0;"LW_35";"M775C";1.0;384.0;38.0;"12.9C-B35";4195.0;16.0;"2019-02-02 07:14:44";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822488028,BW0822488027,BW0822488026,BW0822488025,BW0822488024,BW0822488023,BW0822488022,BW0822488021,BW0822487496,BW0822487495,BW0822488020,BW0822488019,BW0822488018,BW0822488017,BW0822488016,BW0822487497,BW0822487488,BW0822487487,BW0822487486"
"MWS325913";27.0;"LW_35";"M76LB;M76EY";2.0;387.0;38.0;"12.9C-B35";4194.0;15.0;"2019-02-01 17:30:665";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822483415,BW0822483414,BW0822483413,BW0822483412,BW0822483411,BW0822483410,BW0822483409,BW0822483408,BW0822483403,BW0822483124,BW0822483123,BW0822483122,BW0822483106,BW0822483105,BW0822483104,BW0822483103,BW0822483102,BW0822483101,BW0822483100,BW0822483099,BW0822483094,BW0822482949,BW0822482948,BW0822482947"
"MWS327028";28.0;"LW_35";"M77WE";1.0;389.0;38.0;"12.9C-B35";4193.0;14.0;"2019-02-01 03:17:804";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822479400,BW0822479399,BW0822479398,BW0822479397,BW0822479396,BW0822479395,BW0822479394,BW0822479393,BW0822479392,BW0822479391,BW0822479390,BW0822479389,BW0822479388,BW0822479029,BW0822479028,BW0822479027,BW0822479020,BW0822479019,BW0822479018"
