"MWS_SAW_BATCH_ID";"MX_Y";"MX_LOCAL_WARP__X_Y_RAW";"MX_LOCAL_WARP__X_Y_SMOOTH"
"MWS326023";68.0;0.4772256613374662;0.37568726822634463
"MWS326023";70.0;0.449838722037255;0.3878732122980842
"MWS326023";72.0;0.3736539571877155;0.39657818811840606
"MWS326023";74.0;0.3379878073609951;0.40296759319483044
"MWS326023";76.0;0.33462433627910076;0.4097280745360169
"MWS326023";78.0;0.32914063606618177;0.41916389972036977
"MWS326023";80.0;0.41552726575897786;0.4319420568824702
"MWS326023";82.0;0.4918620730181121;0.4474471769572536
"MWS326023";84.0;0.490199969819126;0.4643229000713284
"MWS326023";86.0;0.55285790393129;0.48168319568497325
"MWS326023";88.0;0.5319478277675809;0.4986978241592121
"MWS326023";90.0;0.48159194267251415;0.5155380771511802
"MWS326023";92.0;0.4615245763460794;0.5334051454319033
"MWS326023";94.0;0.5529136727419164;0.5521609053765213
"MWS326023";96.0;0.6124577975521485;0.5701275182735647
"MWS326023";98.0;0.6041797346042262;0.5853982639375986
"MWS326023";100.0;0.663340979946984;0.5971555270246618
"MWS326023";102.0;0.7118064892292023;0.6052258572249996
"MWS326023";104.0;0.6818746170212486;0.6100484593562544
"MWS326023";106.0;0.6014726467265024;0.6125839964177778
"MWS326023";108.0;0.6543366889669818;0.6124840218056535
"MWS326023";110.0;0.6510415262894499;0.6079520801648965
"MWS326023";112.0;0.5894371653017071;0.5981689760389644
"MWS326023";114.0;0.5699681588107097;0.5849189384958539
"MWS326023";116.0;0.5489891915354463;0.5712003315480596
"MWS326023";118.0;0.5178243850378527;0.5580467787661159
"MWS326023";120.0;0.5351625648942879;0.5445671906474512
"MWS326023";122.0;0.6581974208644693;0.5300213802260569
"MWS326023";124.0;0.6896897348528728;0.512316312888692
"MWS326023";126.0;0.3068445841626576;0.4875570876306523
"MWS326023";128.0;0.2335749497988987;0.4554767888795242
"MWS326023";130.0;0.3134092132388873;0.41686475824342467
"MWS326023";132.0;0.5310449674891101;0.36995061570773435
"MWS326023";134.0;0.6796135507110094;0.31143516347722494
"MWS326023";136.0;0.5059405128573741;0.23725099133978111
"MWS326023";138.0;0.3458420407885893;0.1474469039728891
"MWS326023";140.0;0.27936668397858744;0.045099897606908836
"MWS326023";142.0;0.10035443516862073;-0.06759342260257752
"MWS326023";144.0;-0.2090928141193258;-0.18747631542023732
"MWS326023";146.0;-0.5454005102150971;-0.3088915500152985
"MWS326023";148.0;-0.9359161345495118;-0.42713834111743293
"MWS325853";-148.0;-2.6014932118521794;-2.284055015955521
"MWS325853";-146.0;-2.420770785013835;-2.190201681512172
"MWS325853";-144.0;-2.1244735843724465;-2.085299960088395
"MWS325853";-142.0;-1.823330494418947;-1.973644658698273
"MWS325853";-140.0;-1.5635077441483736;-1.8604897161241336
"MWS325853";-138.0;-1.345140332184318;-1.7508961008279762
"MWS325853";-136.0;-1.2940927066571182;-1.6489830560188972
"MWS325853";-134.0;-1.3304938252911798;-1.5562404722424197
"MWS325853";-132.0;-1.3657354292273522;-1.47145931078915
"MWS325853";-130.0;-1.3966349063979253;-1.3929423081306815
"MWS325853";-128.0;-1.3293445210986667;-1.3191664808466017
"MWS325853";-126.0;-1.3025196528434753;-1.249544494544443
"MWS325853";-124.0;-1.2342666689554849;-1.1836687361447888
"MWS325853";-122.0;-1.15842682811949;-1.1200180600775718
